Chn,Identifier,DLC,D0,...1,...2,...3,...4,...5,...6,..D7,Time,Dir
0,000000F1,8,0,0,0,0,0,0,0,0,0,R
0,199,8,0,0,0,0,0,0,0,FF,0.00026,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.00043,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.00069,R
0,10,8,0,0,0,0,0,0,0,0,0.00094,R
0,184,8,4,0,0,0,0,0,0,0,0.0012,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.00145,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.00171,R
0,334,8,6,0,0,0,0,0,0,0,0.00197,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.00222,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.00248,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.00273,R
0,1E5,8,3,0,0,0,0,0,0,0,0.00299,R
0,121,4,2,0,0,0,,,,,0.00487,R
0,1E9,8,5,0,0,0,0,0,0,0,0.00512,R
0,000000C9,8,F9,50,EF,0,0,0,0,0,0.00598,R
0,191,8,0,0,0,0,0,0,0,0,0.00623,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.00999,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.01212,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.01238,R
0,1E5,8,3,0,0,0,0,0,0,0,0.01263,R
0,199,8,0,0,0,0,0,0,0,FF,0.01314,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.0134,R
0,000000C9,8,8,51,EF,0,0,0,0,0,0.01596,R
0,191,8,0,0,0,0,0,0,0,0,0.01622,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.01707,R
0,000001A1,8,F7,B6,0,0,0,0,0,0,0.01835,R
0,000001C3,8,0,0,0,0,0,0,0,0,0.01861,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.01997,R
0,184,8,4,0,0,0,0,0,0,0,0.02108,R
0,334,8,6,0,0,0,0,0,0,0,0.02134,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.02159,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.0221,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.02236,R
0,1E5,8,3,0,0,0,0,0,0,0,0.02262,R
0,1E9,8,5,0,0,0,0,0,0,0,0.02509,R
0,199,8,0,0,0,0,0,0,0,FF,0.02577,R
0,000000C9,8,1C,51,EF,0,0,0,0,0,0.02603,R
0,191,8,0,0,0,0,0,0,0,0,0.02629,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.02654,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.0268,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.02697,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.02996,R
0,121,4,2,0,0,0,,,,,0.03013,R
0,0000012A,8,0,0,0,0,0,0,0,0,0.03038,R
0,130,4,CA,45,0,0,,,,,0.03055,R
0,134,8,0,0,0,0,0,0,0,0,0.03081,R
0,10,8,0,0,0,0,0,0,0,0,0.03106,R
0,000001F1,8,0,0,0,0,0,0,0,0,0.03132,R
0,000003C9,8,0,0,0,0,0,0,0,0,0.03158,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.03209,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.03234,R
0,1E5,8,3,0,0,0,0,0,0,0,0.0326,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.03294,R
0,000000C9,8,2B,51,EF,0,0,0,0,0,0.03601,R
0,191,8,0,0,0,0,0,0,0,0,0.03618,R
0,000002C3,8,5D,51,EF,0,0,0,0,0,0.03644,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.03712,R
0,199,8,0,0,0,0,0,0,0,FF,0.03874,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.039,R
0,0000017D,8,0C,0,0,0,0,0,0,0,0.03926,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.03994,R
0,0000017F,8,0D,0,0,0,0,0,0,0,0.04113,R
0,184,8,4,0,0,0,0,0,0,0,0.04139,R
0,000002F9,8,9,0,0,0,0,0,0,0,0.04165,R
0,000001A1,8,F7,B6,0,0,0,0,0,0,0.04182,R
0,000001C3,8,0,0,0,0,0,0,0,0,0.04207,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.04233,R
0,334,8,6,0,0,0,0,0,0,0,0.04258,R
0,0000034A,8,0B,0,0,0,0,0,0,0,0.04284,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.0431,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.04335,R
0,1E5,8,3,0,0,0,0,0,0,0,0.04361,R
0,1E9,8,5,0,0,0,0,0,0,0,0.04506,R
0,000000C9,8,71,51,EF,0,0,0,0,0,0.046,R
0,191,8,0,0,0,0,0,0,0,0,0.04625,R
0,348,8,0A,0,0,0,0,0,0,0,0.04711,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.05001,R
0,199,8,0,0,0,0,0,0,0,FF,0.05137,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.05163,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.05189,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.05214,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.0524,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.05257,R
0,1E5,8,3,0,0,0,0,0,0,0,0.05282,R
0,121,4,2,0,0,0,,,,,0.05487,R
0,000000C9,8,80,51,EF,0,0,0,0,0,0.05598,R
0,191,8,0,0,0,0,0,0,0,0,0.05624,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.05709,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.05999,R
0,10,8,0,0,0,0,0,0,0,0,0.06025,R
0,184,8,4,0,0,0,0,0,0,0,0.0611,R
0,334,8,6,0,0,0,0,0,0,0,0.06136,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.06161,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.06213,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.06238,R
0,1E5,8,3,0,0,0,0,0,0,0,0.06264,R
0,199,8,0,0,0,0,0,0,0,FF,0.06434,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.0646,R
0,1E9,8,5,0,0,0,0,0,0,0,0.06511,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.06597,R
0,000000C9,8,8F,51,EF,0,0,0,0,0,0.06622,R
0,191,8,0,0,0,0,0,0,0,0,0.06648,R
0,000001A1,8,F7,B6,0,0,0,0,0,0,0.06673,R
0,000001C3,8,0,0,0,0,0,0,0,0,0.0669,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.06998,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.07211,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.07237,R
0,1E5,8,3,0,0,0,0,0,0,0,0.07262,R
0,000000C9,8,A3,51,EF,0,0,0,0,0,0.07595,R
0,191,8,0,0,0,0,0,0,0,0,0.07621,R
0,199,8,0,0,0,0,0,0,0,FF,0.07697,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.07723,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.07749,R
