Chn,Identifier Flg,DLC,D0,...1,...2,...3,...4,...5,...6,..D7,Time,Dir
0,000000F1,8,0,0,0,0,0,0,0,0,0.0634,R
0,00000121,4,2,0,0,0,,,,,0.06357,R
0,00000130,4,10,27,0,0,,,,,0.06374,R
0,000003F1,8,0,0,0,0,0,0,0,0,0.06443,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.06801,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.06827,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.06852,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.06878,R
0,000000C9,8,9A,B2,D4,9,0,0,0,0,0.06972,R
0,00000191,8,0,0,0,0,0,0,0,0,0.06997,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.07117,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.07142,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.07168,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.07194,R
0,00000184,8,4,0,0,0,0,0,0,0,0.07219,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.07245,R
0,000001C3,8,A0,B2,D4,9,0,0,0,0,0.0727,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.07296,R
0,00000334,8,6,0,0,0,0,0,0,0,0.07322,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.07347,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.07373,R
0,000001E1,8,0,0,0,0,0,0,0,0,0.0739,R
0,000000C9,8,AE,B2,D4,9,0,0,0,0,0.07979,R
0,00000191,8,0,0,0,0,0,0,0,0,0.07996,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.08098,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.08124,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.08149,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.08175,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.08201,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.08243,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.08346,R
0,00000121,4,2,0,0,0,,,,,0.08832,R
0,000000C9,8,BD,B2,D4,9,0,0,0,0,0.08977,R
0,00000191,8,0,0,0,0,0,0,0,0,0.09003,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.09122,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.09148,R
0,0000017D,8,0C,0,0,0,0,0,0,0,0.09173,R
0,0000017F,8,0D,0,0,0,0,0,0,0,0.09199,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.09225,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.0925,R
0,00000184,8,4,0,0,0,0,0,0,0,0.09276,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.09293,R
0,00000348,8,0A,0,0,0,0,0,0,0,0.09318,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.09344,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.0937,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.09395,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.09421,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.09446,R
0,000002F9,8,9,0,0,0,0,0,0,0,0.09472,R
0,00000334,8,6,0,0,0,0,0,0,0,0.09498,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.09523,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.09549,R
0,000001C3,8,C4,B2,D4,9,0,0,0,0,0.09566,R
0,0000034A,8,0B,0,0,0,0,0,0,0,0.09591,R
0,000000C9,8,D1,B2,D4,9,0,0,0,0,0.09975,R
0,00000191,8,0,0,0,0,0,0,0,0,0.10001,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.10121,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.10146,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.10172,R
